;Religions and Belief Systems; Philosophical Thoughts; Artistic Expressions (as a variant of Art & Architecture); Cultural Rituals (as a variant of Cultural Practices); Economic Exchanges; Political Ideologies; Social Interactions; Scientific Methods; Technological Applications; Geographical Influences; Languages and Literature; Laws and Justice; Gender Roles; Climate and Environment; Demographics and Migration
89; Religions and Belief Systems: Scientology; Philosophical Thoughts: Scientology ethics and spirituality; Artistic Expressions: Scientology art and architecture; Cultural Rituals: Scientology festivals and ceremonies; Economic Exchanges: Scientology commerce and trade; Political Ideologies: Scientology governance and democracy; Social Interactions: Scientology community and hierarchy; Scientific Methods: Scientology observation and experimentation; Technological Applications: Scientology engineering and craftsmanship; Geographical Influences: Western world and Scientology cultural sphere; Languages and Literature: English literature and scripture; Laws and Justice: Scientology law and ethics; Gender Roles: Gender roles in Scientology society; Climate and Environment: Scientology ecology and sustainability; Demographics and Migration: Scientology diaspora and migration.</s>
90;  Religions and Belief Systems: Shinto; Philosophical Thoughts: Shinto ethics and spirituality; Artistic Expressions: Shinto art and architecture; Cultural Rituals: Shinto festivals and ceremonies; Economic Exchanges: Shinto commerce and trade; Political Ideologies: Shinto governance and democracy; Social Interactions: Shinto community and hierarchy; Scientific Methods: Shinto observation and experimentation; Technological Applications: Shinto engineering and craftsmanship; Geographical Influences: Eastern Asia and Shinto cultural sphere; Languages and Literature: Japanese literature and scripture; Laws and Justice: Shinto law and ethics; Gender Roles: Gender roles in Shinto society; Climate and Environment: Shinto ecology and sustainability; Demographics and Migration: Shinto diaspora and migration.
91; Religions and Belief Systems: Sikhism; Philosophical Thoughts: Sikh ethics and spirituality; Artistic Expressions: Sikh art and architecture; Cultural Rituals: Sikh festivals and ceremonies; Economic Exchanges: Sikh commerce and trade; Political Ideologies: Sikh governance and democracy; Social Interactions: Sikh community and hierarchy; Scientific Methods: Sikh observation and experimentation; Technological Applications: Sikh engineering and craftsmanship; Geographical Influences: Indian subcontinent and Sikh cultural sphere; Languages and Literature: Punjabi literature and scripture; Laws and Justice: Sikh law and ethics; Gender Roles: Gender roles in Sikh society; Climate and Environment: Sikh ecology and sustainability; Demographics and Migration: Sikh diaspora and migration.
92; Religions and Belief Systems: Rastafari; Philosophical Thoughts: Rastafari ethics and spirituality; Artistic Expressions: Rastafari art and architecture; Cultural Rituals: Rastafari festivals and ceremonies; Economic Exchanges: Rastafari commerce and trade; Political Ideologies: Rastafari governance and democracy; Social Interactions: Rastafari community and hierarchy; Scientific Methods: Rastafari observation and experimentation; Technological Applications: Rastafari engineering and craftsmanship; Geographical Influences: Caribbean and Rastafari cultural sphere; Languages and Literature: English literature and scripture; Laws and Justice: Rastafari law and ethics; Gender Roles: Gender roles in Rastafari society; Climate and Environment: Rastafari ecology and sustainability; Demographics and Migration: Rastafari diaspora and migration.
93; Religions and Belief Systems: Neo-Paganism; Philosophical Thoughts: Neo-Pagan ethics and spirituality; Artistic Expressions: Neo-Pagan art and architecture; Cultural Rituals: Neo-Pagan festivals and ceremonies; Economic Exchanges: Neo-Pagan commerce and trade; Political Ideologies: Neo-Pagan governance and democracy; Social Interactions: Neo-Pagan community and hierarchy; Scientific Methods: Neo-Pagan observation and experimentation; Technological Applications: Neo-Pagan engineering and craftsmanship; Geographical Influences: Western world and Neo-Pagan cultural sphere; Languages and Literature: English literature and scripture; Laws and Justice: Neo-Pagan law and ethics; Gender Roles: Gender roles in Neo-Pagan society; Climate and Environment: Neo-Pagan ecology and sustainability; Demographics and Migration: Neo-Pagan diaspora and migration.
94; Religions and Belief Systems: Jainism; Philosophical Thoughts: Jain ethics and spirituality; Artistic Expressions: Jain art and architecture; Cultural Rituals: Jain festivals and ceremonies; Economic Exchanges: Jain commerce and trade; Political Ideologies: Jain governance and democracy; Social Interactions: Jain community and hierarchy; Scientific Methods: Jain observation and experimentation; Technological Applications: Jain engineering and craftsmanship; Geographical Influences: Indian subcontinent and Jain cultural sphere; Languages and Literature: Prakrit literature and scripture; Laws and Justice: Jain law and ethics; Gender Roles: Gender roles in Jain society; Climate and Environment: Jain ecology and sustainability; Demographics and Migration: Jain diaspora and migration.
95; Religions and Belief Systems: Zoroastrianism; Philosophical Thoughts: Zoroastrian ethics and spirituality; Artistic Expressions: Zoroastrian art and architecture; Cultural Rituals: Zoroastrian festivals and ceremonies; Economic Exchanges: Zoroastrian commerce and trade; Political Ideologies: Zoroastrian governance and democracy; Social Interactions: Zoroastrian community and hierarchy; Scientific Methods: Zoroastrian observation and experimentation; Technological Applications: Zoroastrian engineering and craftsmanship; Geographical Influences: Middle East and Zoroastrian cultural sphere; Languages and Literature: Avestan literature and scripture; Laws and Justice: Zoroastrian law and ethics; Gender Roles: Gender roles in Zoroastrian society; Climate and Environment: Zoroastrian ecology and sustainability; Demographics and Migration: Zoroastrian diaspora and migration.
96; Religions and Belief Systems: Confucianism; Philosophical Thoughts: Confucian ethics and spirituality; Artistic Expressions: Confucian art and architecture; Cultural Rituals: Confucian festivals and ceremonies; Economic Exchanges: Confucian commerce and trade; Political Ideologies: Confucian governance and democracy; Social Interactions: Confucian community and hierarchy; Scientific Methods: Confucian observation and experimentation; Technological Applications: Confucian engineering and craftsmanship; Geographical Influences: East Asia and Confucian cultural sphere; Languages and Literature: Classical Chinese literature and scripture; Laws and Justice: Confucian law and ethics; Gender Roles: Gender roles in Confucian society; Climate and Environment: Confucian ecology and sustainability; Demographics and Migration: Confucian diaspora and migration.
97; Religions and Belief Systems: Humanism; Philosophical Thoughts: Humanist ethics and spirituality; Artistic Expressions: Humanist art and architecture; Cultural Rituals: Humanist festivals and ceremonies; Economic Exchanges: Humanist commerce and trade; Political Ideologies: Humanist governance and democracy; Social Interactions: Humanist community and hierarchy; Scientific Methods: Humanist observation and experimentation; Technological Applications: Humanist engineering and craftsmanship; Geographical Influences: Western world and Humanist cultural sphere; Languages and Literature: Western literature and scripture; Laws and Justice: Humanist law and ethics; Gender Roles: Gender roles in Humanist society; Climate and Environment: Humanist ecology and sustainability; Demographics and Migration: Humanist diaspora and migration.
98; Religions and Belief Systems: Buddhism; Philosophical Thoughts: Buddhist ethics and spirituality; Artistic Expressions: Buddhist art and architecture; Cultural Rituals: Buddhist festivals and ceremonies; Economic Exchanges: Buddhist commerce and trade; Political Ideologies: Buddhist governance and democracy; Social Interactions: Buddhist community and hierarchy; Scientific Methods: Buddhist observation and experimentation; Technological Applications: Buddhist engineering and craftsmanship; Geographical Influences: Indian subcontinent and Buddhist cultural sphere; Languages and Literature: Pali and Sanskrit literature and scripture; Laws and Justice: Buddhist law and ethics; Gender Roles: Gender roles in Buddhist society; Climate and Environment: Buddhist ecology and sustainability; Demographics and Migration: Buddhist diaspora and migration.
99; Religions and Belief Systems: Cao Dai; Philosophical Thoughts: Cao Dai ethics and spirituality; Artistic Expressions: Cao Dai art and architecture; Cultural Rituals: Cao Dai festivals and ceremonies; Economic Exchanges: Cao Dai commerce and trade; Political Ideologies: Cao Dai governance and democracy; Social Interactions: Cao Dai community and hierarchy; Scientific Methods: Cao Dai observation and experimentation; Technological Applications: Cao Dai engineering and craftsmanship; Geographical Influences: Southeast Asia and Cao Dai cultural sphere; Languages and Literature: Vietnamese literature and scripture; Laws and Justice: Cao Dai law and ethics; Gender Roles: Gender roles in Cao Dai society; Climate and Environment: Cao Dai ecology and sustainability; Demographics and Migration: Cao Dai diaspora and migration.</s>
