;Type of Geometry;Shape Attributes;Elemental Associations;Cultural Context;Significance in Theory;Methods of Divination;Possible Outcomes;Interpretation & Ritual Use;Limitation on Alphanumeric Readability;Frequency Used by Culture;Inherited vs Innovative Methods;Zodiac Sign Symbolism;Planetary Connections
96; Type of Geometry: Hexacontagon; Shape Attributes: Transcendence and enlightenment; Elemental Associations: Earth, Water, Air, Fire, Spirit, Ether, Akasha, Cosmos, Divine Energy, Infinity, Oneness, Harmony, Cyclical Renewal, Wholeness, Integration, Manifestation, Realization, Transcendence, and Enlightenment; Cultural Context: Buddhist; Significance in Theory: Symbolizes transcendence, enlightenment, and the ultimate reality; Methods of Divination: Mandala; Possible Outcomes: Insight, Direction, Clarity; Interpretation & Ritual Use: Use in Mandala for self-reflection and guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Gemini, the curious and adaptable sign; Planetary Connections: Mercury, the planet of communication and information.</s>
97;  Type of Geometry: Heptacontakaitragon; Shape Attributes: Spiritual growth and self-discovery; Elemental Associations: Earth, Water, Air, Fire, Spirit, Ether, Akasha, Cosmos, Divine Energy, Infinity, Oneness, Harmony, Cyclical Renewal, Wholeness, Integration, Manifestation, Realization, Transcendence, Enlightenment, Spiritual Growth, and Self-Discovery; Cultural Context: Indigenous American; Significance in Theory: Symbolizes spiritual growth and self-discovery, and the interconnectedness of all things; Methods of Divination: Medicine Wheel; Possible Outcomes: Insight, Direction, Clarity; Interpretation & Ritual Use: Use in Medicine Wheel for self-reflection and guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Cancer, the nurturing and intuitive sign; Planetary Connections: Moon, the satellite of reflection and emotion.
98; Type of Geometry: Octacontagon; Shape Attributes: Transformation and balance; Elemental Associations: Earth, Water, Air, Fire, Spirit, Ether, Akasha, Cosmos, Divine Energy, Infinity, Oneness, Harmony, Cyclical Renewal, Wholeness, Integration, Manifestation, Realization, Transcendence, Enlightenment, Spiritual Growth, Self-Discovery, Transformation, and Balance; Cultural Context: African; Significance in Theory: Symbolizes transformation, balance, and the interconnectedness of all things; Methods of Divination: Adinkra; Possible Outcomes: Insight, Direction, Clarity; Interpretation & Ritual Use: Use in Adinkra for self-reflection and guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Leo, the confident and charismatic sign; Planetary Connections: Sun, the source of light and life.
99; Type of Geometry: Enneacontagon; Shape Attributes: Harmony and unity; Elemental Associations: Earth, Water, Air, Fire, Spirit, Ether, Akasha, Cosmos, Divine Energy, Infinity, Oneness, Harmony, Cyclical Renewal, Wholeness, Integration, Manifestation, Realization, Transcendence, Enlightenment, Spiritual Growth, Self-Discovery, Transformation, Balance, Harmony, and Unity; Cultural Context: Chinese; Significance in Theory: Symbolizes harmony, unity, and the interconnectedness of all things; Methods of Divination: Bagua; Possible Outcomes: Insight, Direction, Clarity; Interpretation & Ritual Use: Use in Bagua for self-reflection and guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Virgo, the analytical and efficient sign; Planetary Connections: Mercury, the planet of communication and information.
100; Type of Geometry: Hectogon; Shape Attributes: Completion and fulfillment; Elemental Associations: Earth, Water, Air, Fire, Spirit, Ether, Akasha, Cosmos, Divine Energy, Infinity, Oneness, Harmony, Cyclical Renewal, Wholeness, Integration, Manifestation, Realization, Transcendence, Enlightenment, Spiritual Growth, Self-Discovery, Transformation, Balance, Harmony, Unity, Completion, and Fulfillment; Cultural Context: Celtic; Significance in Theory: Symbolizes completion, fulfillment, and the interconnectedness of all things; Methods of Divination: Ogham; Possible Outcomes: Insight, Direction, Clarity; Interpretation & Ritual Use: Use in Ogham for self-reflection and guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Libra, the harmonious and diplomatic sign; Planetary Connections: Venus, the planet of love and beauty.
101; Type of Geometry: Dodecagon; Shape Attributes: Harmony and balance; Elemental Associations: Earth, Water, Air, Fire, Spirit, Ether, Akasha, Cosmos, Divine Energy, Infinity, Oneness, Harmony, Cyclical Renewal, Wholeness, Integration, Manifestation, Realization, Transcendence, Enlightenment, Spiritual Growth, Self-Discovery, Transformation, Balance, Harmony, and Balance; Cultural Context: Greek; Significance in Theory: Symbolizes harmony, balance, and the interconnectedness of all things; Methods of Divination: Labyrinth; Possible Outcomes: Insight, Direction, Clarity; Interpretation & Ritual Use: Use in Labyrinth for self-reflection and guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Scorpio, the intense and transformative sign; Planetary Connections: Pluto, the dwarf planet of power and transformation.
102; Type of Geometry: Decagon; Shape Attributes: Wholeness and unity; Elemental Associations: Earth, Water, Air, Fire, Spirit, Ether, Akasha, Cosmos, Divine Energy, Infinity, Oneness, Harmony, Cyclical Renewal, Wholeness, Integration, Manifestation, Realization, Transcendence, Enlightenment, Spiritual Growth, Self-Discovery, Transformation, Balance, Harmony, Unity, and Wholeness; Cultural Context: Mayan; Significance in Theory: Symbolizes wholeness, unity, and the interconnectedness of all things; Methods of Divination: Sacred Geometry; Possible Outcomes: Insight, Direction, Clarity; Interpretation & Ritual Use: Use in Sacred Geometry for self-reflection and guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Sagittarius, the adventurous and optimistic sign; Planetary Connections: Jupiter, the planet of expansion and abundance.
103; Type of Geometry: Nonagon; Shape Attributes: Completion and fulfillment; Elemental Associations: Earth, Water, Air, Fire, Spirit, Ether, Akasha, Cosmos, Divine Energy, Infinity, Oneness, Harmony, Cyclical Renewal, Wholeness, Integration, Manifestation, Realization, Transcendence, Enlightenment, Spiritual Growth, Self-Discovery, Transformation, Balance, Harmony, Unity, Completion, Fulfillment, and Infinity; Cultural Context: Native American; Significance in Theory: Symbolizes completion, fulfillment, infinity, and the interconnectedness of all things; Methods of Divination: Medicine Wheel; Possible Outcomes: Insight, Direction, Clarity; Interpretation & Ritual Use: Use in Medicine Wheel for self-reflection and guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Capricorn, the responsible and ambitious sign; Planetary Connections: Saturn, the planet of structure and discipline.
104; Type of Geometry: Octagon; Shape Attributes: Renewal and rebirth; Elemental Associations: Earth, Water, Air, Fire, Spirit, Ether, Akasha, Cosmos, Divine Energy, Infinity, Oneness, Harmony, Cyclical Renewal, Wholeness, Integration, Manifestation, Realization, Transcendence, Enlightenment, Spiritual Growth, Self-Discovery, Transformation, Balance, Harmony, Unity, Completion, Fulfillment, Infinity, Renewal, and Rebirth; Cultural Context: Japanese; Significance in Theory: Symbolizes renewal, rebirth, and the interconnectedness of all things; Methods of Divination: Zen Garden; Possible Outcomes: Insight, Direction, Clarity; Interpretation & Ritual Use: Use in Zen Garden for self-reflection and guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Aquarius, the innovative and humanitarian sign; Planetary Connections: Uranus, the planet of revolution and innovation.
105; Type of Geometry: Heptagon; Shape Attributes: Transformation and growth; Elemental Associations: Earth, Water, Air, Fire, Spirit, Ether, Akasha, Cosmos, Divine Energy, Infinity, Oneness, Harmony, Cyclical Renewal, Wholeness, Integration, Manifestation, Realization, Transcendence, Enlightenment, Spiritual Growth, Self-Discovery, Transformation, Balance, Harmony, Unity, Completion, Fulfillment, Infinity, Renewal, Rebirth, Transformation, and Growth; Cultural Context: Norse; Significance in Theory: Symbolizes transformation, growth, and the interconnectedness of all things; Methods of Divination: Runes; Possible Outcomes: Insight, Direction, Clarity; Interpretation & Ritual Use: Use in Runes for self-reflection and guidance; Limitation on Alphanumeric Readability: N/A; Frequency Used by Culture: Common; Inherited vs Innovative Methods: Ancestral; Zodiac Sign Symbolism: Pisces, the compassionate and imaginative sign; Planetary Connections: Neptune, the planet of illusion and spirituality.</s>
